cnn_output,vit_class_0,vit_class_1,target
0.9381765,0.0010948844,0.998905,1.0
0.014853375,0.16318157,0.83681834,1.0
0.9827286,0.11932747,0.8806726,0.0
0.95166945,0.00023017645,0.9997699,1.0
0.9805699,0.9758949,0.024105122,0.0
0.5513376,0.8842774,0.11572255,1.0
0.69396317,0.03124701,0.9687529,1.0
0.10188387,0.00198704,0.9980128,1.0
0.88841033,0.9991507,0.0008492253,0.0
0.1672832,0.7117563,0.28824365,0.0
0.095442116,0.50920427,0.49079573,1.0
0.20177007,4.149634e-05,0.99995846,1.0
0.90805745,0.9996356,0.00036438505,0.0
0.17703715,0.00064433465,0.9993556,1.0
0.27232638,0.0005190114,0.9994809,1.0
0.9869702,0.785753,0.21424702,1.0
0.9432526,0.050174203,0.94982576,1.0
0.88649863,0.0015434845,0.9984564,1.0
0.41731158,0.506792,0.49320784,0.0
0.9850328,0.00802331,0.9919766,1.0
0.17426747,0.0043062936,0.99569374,1.0
0.7240171,0.9985664,0.0014335738,1.0
0.42154896,0.001280854,0.99871916,1.0
0.1374424,0.99937195,0.0006280932,0.0
0.9652018,0.9980642,0.0019357926,0.0
0.5741099,0.4771954,0.5228045,0.0
0.200458,0.00021231674,0.9997878,1.0
0.96263397,0.99902755,0.00097238267,0.0
0.98241264,0.8651408,0.13485926,0.0
0.031288266,0.030893136,0.96910685,1.0
0.2733626,0.9922111,0.0077887857,0.0
0.61536473,0.0064930543,0.99350697,1.0
0.1035568,0.9974526,0.002547445,0.0
0.9816252,0.19865303,0.801347,1.0
0.977905,0.9972473,0.0027527013,0.0
0.06681838,0.99988085,0.00011907739,0.0
0.11607271,0.9116942,0.08830576,1.0
0.26944792,0.0046040644,0.99539596,1.0
0.98048174,0.0025537068,0.9974462,1.0
0.1806797,0.3508154,0.64918464,1.0
0.9792868,0.017104499,0.9828955,1.0
0.9854981,0.44440696,0.555593,0.0
0.18786065,0.00012752536,0.99987245,1.0
0.02386963,0.99999815,1.8410835e-06,0.0
0.9789571,0.9684668,0.031533178,0.0
0.00092349737,0.56448096,0.43551892,0.0
0.2713016,0.041600037,0.9583999,1.0
0.32747287,0.0039371834,0.9960628,1.0
0.0021230169,0.18170884,0.8182912,0.0
0.042204265,0.9626713,0.037328847,1.0
0.22639528,0.28425512,0.71574485,0.0
